completion,prompt
" You: None
can: None
also: None
use: None
it: None
to: None
buy: None
a: None
‘: None
deferred: Finance
annuity: Finance
contract: Finance
’: None
-: None
an: None
agreement: None
that: None
gives: None
you: None
a: None
guaranteed: None
income: None
in: None
the: None
future: None
.: None

###","You can also use it to buy a ‘ deferred annuity contract ’ - an agreement that gives you a guaranteed income in the future .

###

"
" Work: None
out: None
how: None
much: None
to: None
deduct: None
from: None
your: None
employee: Person
’: None
s: None
pay: None
.: None

###","Work out how much to deduct from your employee ’ s pay .

###

"
" You: None
can: None
pay: None
your: None
Inheritance: Finance
Tax: Finance
on: None
things: None
that: None
may: None
take: None
time: None
to: None
sell: None
in: None
equal: None
annual: None
instalments: None
over: Date
10: Date
years: Date
.: None

###","You can pay your Inheritance Tax on things that may take time to sell in equal annual instalments over 10 years .

###

"
" However: None
your: None
residence: Form
card: Form
will: None
not: None
be: None
valid: None
after: None
31: Date
December: Date
2020: Date
.: None

###","However your residence card will not be valid after 31 December 2020 .

###

"
" Settlor: None
-: None
interested: None
trusts: None
These: None
are: None
where: None
the: None
settlor: None
or: None
their: None
spouse: Person
or: None
civil: None
partner: None
benefits: None
from: None
the: None
trust: None
.: None

###","Settlor - interested trusts These are where the settlor or their spouse or civil partner benefits from the trust .

###

"
" You: None
’: None
ll: None
also: None
be: None
inspected: None
if: None
someone: Person
reports: None
concerns: None
about: None
the: None
childcare: None
you: None
’: None
re: None
providing: None
.: None

###","You ’ ll also be inspected if someone reports concerns about the childcare you ’ re providing .

###

"
" Your: None
pension: Organization
provider: Organization
might: None
charge: None
you: None
for: None
withdrawing: None
cash: Finance
from: None
your: None
pension: Finance
pot: Finance
-: None
check: None
with: None
them: None
about: None
this: None
.: None

###","Your pension provider might charge you for withdrawing cash from your pension pot - check with them about this .

###

"
" Child: Finance
Benefit: Finance
can: None
be: None
backdated: None
for: None
up: None
to: None
3: None
months: None
.: None

###","Child Benefit can be backdated for up to 3 months .

###

"
" You: None
’: None
ll: None
get: None
a: None
decision: None
in: None
writing: None
with: None
the: None
reasons: None
for: None
it: None
from: None
the: None
Certification: Person
Officer: Person
.: None

###","You ’ ll get a decision in writing with the reasons for it from the Certification Officer .

###

"
" If: None
you: None
live: None
in: None
Scotland: Location
and: None
you: None
’: None
ve: None
chosen: None
to: None
be: None
paid: None
twice: None
monthly: None
you: None
’: None
ll: None
receive: None
2: None
payments: None
each: Date
month: Date
for: None
your: None
household: Person
.: None

###","If you live in Scotland and you ’ ve chosen to be paid twice monthly you ’ ll receive 2 payments each month for your household .

###

"
" Sick: Finance
pay: Finance
Agricultural: State
workers: Person
are: None
entitled: None
to: None
sick: Finance
pay: Finance
meaning: None
they: None
’: None
ll: None
get: None
at: None
least: None
the: None
Agricultural: Finance
Minimum: Finance
Wage: Finance
when: None
they: None
’: None
re: None
off: None
.: None

###","Sick pay Agricultural workers are entitled to sick pay meaning they ’ ll get at least the Agricultural Minimum Wage when they ’ re off .

###

"
" HM: Organization
Revenue: Organization
and: Organization
Customs: Organization
(: None
HMRC: Organization
): None
will: None
charge: None
you: None
interest: Finance
if: None
you: None
do: None
not: None
pay: None
by: None
the: None
due: Date
date: Date
.: None

###","HM Revenue and Customs ( HMRC ) will charge you interest if you do not pay by the due date .

###

"
" When: None
to: None
apply: None
for: None
a: None
new: None
visa: None
You: None
cannot: None
apply: None
for: None
a: None
new: None
visa: None
until: None
you: None
’: None
ve: None
started: Event
work: Event
with: None
your: None
first: None
sponsor: Organization
.: None

###","When to apply for a new visa You cannot apply for a new visa until you ’ ve started work with your first sponsor .

###

"
" You: None
can: None
pay: None
by: None
debit: None
card: None
or: None
set: None
up: None
a: None
Direct: Organization
Debit: Organization
.: None

###","You can pay by debit card or set up a Direct Debit .

###

"
" You: None
can: None
also: None
apply: None
to: None
settle: None
in: None
the: None
UK: Location
permanently: None
.: None

###","You can also apply to settle in the UK permanently .

###

"
" You: None
can: None
also: None
find: None
free: None
support: Form
advice: Form
and: None
sources: None
of: None
finance: None
through: None
your: None
local: None
‘: None
growth: None
hub: None
’: None
.: None

###","You can also find free support advice and sources of finance through your local ‘ growth hub ’ .

###

"
" CAC: Misc
will: None
accept: None
the: None
trade: Organization
union: Organization
’: None
s: None
application: None
for: None
recognition: None
if: None
it: None
meets: None
the: None
requirements: None
unless: None
you: None
challenge: Event
the: None
application: None
.: None

###","CAC will accept the trade union ’ s application for recognition if it meets the requirements unless you challenge the application .

###

"
" Keep: None
your: None
payslips: Form
and: None
P60: Form
for: None
your: None
records: None
-: None
you: None
’: None
ll: None
need: None
them: None
if: None
you: None
want: None
to: None
get: None
a: None
refund: Finance
.: None

###","Keep your payslips and P60 for your records - you ’ ll need them if you want to get a refund .

###

"
" Check: None
if: None
you: None
need: None
a: None
licence: Form
or: None
to: None
follow: None
special: State
rules: Misc
to: None
export: None
restricted: State
goods: Misc
from: None
the: None
UK: Location
.: None

###","Check if you need a licence or to follow special rules to export restricted goods from the UK .

###

"
" In: None
England: Location
a: None
young: None
person: Person
must: None
be: None
in: None
part: State
-: State
time: State
education: None
or: None
training: None
until: None
they: None
’: None
re: None
18: Event
.: None

###","In England a young person must be in part - time education or training until they ’ re 18 .

###

"
" The: None
amount: None
of: None
time: None
is: None
the: None
same: None
even: None
if: None
they: None
have: None
more: None
than: None
one: None
child: Person
(: None
for: None
example: None
twins: None
): None
.: None

###","The amount of time is the same even if they have more than one child ( for example twins ) .

###

"
" You: None
can: None
also: None
open: None
a: None
Post: Organization
Office: Organization
card: Form
account: Form
or: None
use: None
the: None
Payment: Misc
Exception: Misc
Service: Misc
.: None

###","You can also open a Post Office card account or use the Payment Exception Service .

###

"
" You: None
can: None
make: None
a: None
claim: Contact
to: None
the: None
employment: Event
tribunal: Event
if: None
you: None
disagree: None
with: None
the: None
decision: None
.: None

###","You can make a claim to the employment tribunal if you disagree with the decision .

###

"
" What: None
you: None
must: None
do: None
As: None
an: None
employer: Organization
you: None
no: None
longer: None
have: None
to: None
work: None
with: None
a: None
union: Organization
that: None
’: None
s: None
been: None
derecognised: None
.: None

###","What you must do As an employer you no longer have to work with a union that ’ s been derecognised .

###

"
